SET
BEGIN
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
CREATE TABLE
COPY 966
COPY 20
COPY 7536
COPY 2449
COPY 206
COPY 362
INSERT 0 932
INSERT 0 20
INSERT 0 965
INSERT 0 7370
INSERT 0 2098
INSERT 0 162
INSERT 0 288
INSERT 0 1459
 formato_edicion | ano_edicion |  pais_edicion  | ano_publicacion_disco |                                   titulo_disco                                    | nombre_usuario  | estado 
-----------------+-------------+----------------+-----------------------+-----------------------------------------------------------------------------------+-----------------+--------
 CD              | 1997        | US             | 1997                  | Subterranean Hitz Vol. I                                                          | juangomez       | NM
 CD              | 2012        | Russia         | 2012                  | Lavatory                                                                          | juangomez       | VG+
 CD              | 1996        | France         | 1996                  | Quand On N'a Que L'amour                                                          | juangomez       | G
 Vinyl           | 1959        | Australia      | 1959                  | Your Sweet Love / Just As Much As Ever                                            | juangomez       | EX
 Vinyl           | 1974        | Germany        | 1974                  | Legends Of Rock, Vol. 2, Rare Items                                               | juangomez       | M
 DVD             | 2015        | UK & Europe    | 2008                  | The Time Machine Tour                                                             | juangomez       | G
 Vinyl           | 1961        | Australia      | 1962                  | The New Star Of The Italian Radio-Television                                      | juangomez       | VG
 Vinyl           | 2008        | US             | 2008                  | Way To Normal                                                                     | juangomez       | NM
 Vinyl           | 0           | US             | 0                     | I'm Alright / So Near And Yet So Far                                              | juangomez       | F
 Vinyl           | 1972        | Netherlands    | 1970                  | Old Fashioned Feeling                                                             | juangomez       | EX
 CD              | 2004        | US             | 2004                  | All That We Let In                                                                | juangomez       | VG
 CD              | 1992        | Europe         | 2016                  | Symphony No. 3                                                                    | juangomez       | VG
 Vinyl           | 0           | Japan          | 0                     | Sound Of Speed Circles Vol.1                                                      | juangomez       | G
 CD              | 1994        | UK & Ireland   | 1994                  | You Give Jews A Bad Name                                                          | juangomez       | VG+
 Vinyl           | 2009        | Netherlands    | 2009                  | Playmobil 7 EP                                                                    | juangomez       | G
 CD              | 1998        | US             | 2003                  | Planet Jive                                                                       | juangomez       | EX
 CD              | 2008        | Germany        | 2008                  | Highlander / Spirit Of Darkness                                                   | juangomez       | EX
 Cassette        | 1983        | Belgium        | 2009                  | Figures                                                                           | lorenasaez      | NM
 Vinyl           | 1976        | Italy          | 1999                  | Il Mondo Dei Giovani Vol. 1                                                       | lorenasaez      | F
 CD              | 1989        | Germany        | 1992                  | Bolomakoté                                                                        | lorenasaez      | G
 CD              | 2008        | Finland        | 2008                  | Frozen Chambers                                                                   | lorenasaez      | M
 Vinyl           | 0           | Germany        | 0                     | Eine Kleine Nachtmusik - Die Moldau - Les Préludes - Capriccio Italien            | lorenasaez      | M
 Vinyl           | 2018        | UK             | 2018                  | If You're Into It, I'm Out Of It                                                  | lorenasaez      | M
 Vinyl           | 1992        | Germany        | 1992                  | Raumpatrouille Orion                                                              | lorenasaez      | F
 Vinyl           | 1977        | Japan          | 1997                  | The Japan Syndrome                                                                | lorenasaez      | F
 Vinyl           | 1983        | US             | 2014                  | Dirk Wears White Sox                                                              | lorenasaez      | G
 CD              | 2012        | UK             | 2012                  | Out Of The Coma                                                                   | lorenasaez      | VG
 CD              | 1999        | US             | 1999                  | Laid Insignificant                                                                | lorenasaez      | NM
 Vinyl           | 0           | Greece         | 0                     | A Strange Day E.P                                                                 | lorenasaez      | NM
 CD              | 2004        | UK             | 2004                  | In Scarlet And Vile                                                               | lorenasaez      | VG
 Vinyl           | 1984        | UK             | 1984                  | U.S.A. Remix                                                                      | lorenasaez      | NM
 Cassette        | 1983        | US             | 1983                  | Waiting For The War                                                               | lorenasaez      | EX
 CD              | 2020        | Poland         | 2020                  | Ominous Black                                                                     | lorenasaez      | EX
 CD              | 2015        | US             | 2004                  | Glean                                                                             | lorenasaez      | F
 CD              | 2004        | France         | 2004                  | Express Way                                                                       | lorenasaez      | G
 File            | 2013        | Greece         | 2013                  | Η Καρδιά Με Πηγαίνει Εμένα                                                        | lorenasaez      | EX
 Vinyl           | 2008        | US             | 1965                  | Google Me                                                                         | lorenasaez      | EX
 DVD             | 2007        | US             | 0                     | Hot 'N' Heavy | Live At The Ascension Loft                                        | lorenasaez      | EX
 Vinyl           | 1998        | UK             | 1998                  | Lost In Bass E.P.                                                                 | lorenasaez      | EX
 Vinyl           | 1981        | US             | 1981                  | WOZ                                                                               | lorenasaez      | M
 Vinyl           | 2012        | Netherlands    | 1983                  | Touch The Sky                                                                     | lorenasaez      | EX
 Cassette        | 2012        | Finland        | 2012                  | Vitusti Kuolemaa...                                                               | luisgarcia      | G
 Vinyl           | 1995        | France         | 1995                  | Dieu M'a Donné La Foi                                                             | luisgarcia      | VG+
 Vinyl           | 2010        | Spain          | 2011                  | Herederos De Un Imperio                                                           | luisgarcia      | VG+
 Vinyl           | 2016        | Spain          | 2016                  | Disco Pirata                                                                      | luisgarcia      | VG
 Vinyl           | 1994        | US             | 1998                  | Dreamstate                                                                        | luisgarcia      | EX
 Vinyl           | 1959        | US             | 1959                  | Farmer John / Big Boy Pete                                                        | luisgarcia      | NM
 Vinyl           | 1970        | US             | 1970                  | Faron Young Sings Occasional Wife & If I Ever Fall In Love With A Honky Tonk Girl | luisgarcia      | NM
 Vinyl           | 1962        | US             | 1962                  | Beechwood 4-5789 / Someday, Someway                                               | luisgarcia      | VG+
 Vinyl           | 1991        | US             | 1991                  | Within My Heart                                                                   | luisgarcia      | G
 Vinyl           | 1988        | US             | 1988                  | Magic Lady                                                                        | luisgarcia      | F
 Vinyl           | 1981        | Germany        | 1981                  | 4                                                                                 | luisgarcia      | M
