 ano_publicacion_disco |                             titulo_disco                             | nombre_usuario  
-----------------------+----------------------------------------------------------------------+-----------------
                  2013 | Hit You                                                              | pedrodíaz
                  1977 | Magic Fly                                                            | martadíaz
                  1995 | More Out Of Today                                                    | pedrolópez
                  2009 | Under The Pavement - The Beach                                       | pedrodíaz
                  2017 | 1533 St. Philip Street                                               | javiergómez
                  2003 | Znaeš Kolku Vredam                                                   | sergiopérez
                  1993 | Blue Waters                                                          | pedrofernández
                  1994 | Aquarius                                                             | pedrodíaz
                  2015 | Do You Want                                                          | sergiopérez
                  1978 | Howard Carpendale - Die LP Zur Tournee                               | pedrodíaz
                  1980 | Matthew Fisher                                                       | pedrodíaz
                  1983 | Les Petites Rues De Singapour                                        | martamoreno
                  2015 | House Shoes & Street Corner Music Present: The Gift Vol. 5!          | martadíaz
                  1991 | Un Hommage De Quatre Chansons A Jacques Tati                         | pedrolópez
                  1952 | Classics In Jazz                                                     | pedrofernández
                     0 | The Best Of The EMI Years                                            | javiergómez
                  2001 | Contact / Descent                                                    | javierfernández
                  1991 | Ivy                                                                  | sergiofernández
                  1991 | Ivy                                                                  | martamoreno
                     0 | You Make Me Feel Brand New / I Can't Give You Anything (But My Love) | javierfernández
                  1998 | Lost In Bass E.P.                                                    | martadíaz
                  1992 | Fathoms                                                              | pedrodíaz
                  2003 | The Alan Davie Music Workshop 005                                    | sergiofernández
                  2013 | Blackbird                                                            | pedrodíaz
                  2007 | Shine                                                                | martamoreno
                  2002 | Useless / Relentless                                                 | martadíaz
                  1999 | The Awakening                                                        | javierfernández
                  1995 | Are You Coming Home Today?                                           | pedrolópez
                  2009 | Mais... C'est Pas Dieu Possible !!!!!                                | juangomez
                  2008 | Broken Music                                                         | luisgarcia
                  2004 | Strength In Numbers EP                                               | pedrolópez
                  1980 | Passion                                                              | martadíaz
                  1973 | Public Foot The Roman                                                | sergiopérez
                  2003 | Pop That Booty                                                       | martamoreno
                  2001 | Sincerely Yours - Part Three Of 5                                    | pedrolópez
                  1967 | Treat Her Groovy / Rap-A-Tap                                         | carlosfernández
                  1975 | Mestrud                                                              | martamoreno
                  1994 | Heterogenial                                                         | javierfernández
                  1989 | Teil 1                                                               | pedrodíaz
                  1989 | Teil 1                                                               | sergiofernández
                  2006 | For Pete's Sake                                                      | pedrolópez
                  1959 | Farmer John / Big Boy Pete                                           | sergiopérez
                  1984 | Piano Concerto In A Major Op.85 / Rondo Brillant In A Major Op.56    | luisgarcia
                  1977 | Femmina                                                              | pedrofernández
                  2015 | Rhoda Dakar Sings The Bodysnatchers                                  | pedrodíaz
                  1988 | Listen To Your Heart                                                 | javierfernández
                  1998 | I Want To Spend My Lifetime Loving You                               | martadíaz
                  1969 | Snart Blir Det Sommar Igen / Krama Mej                               | javiergómez
